ID;RESOURCE;PROPERTY;VOICEOVER;KEY;BR;CZ;RU;AR;TR;CN;PL;IT;FR;DE;ZH;ESMX;EN;KR;ES;JP;HU
1098033560;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033560;;;;;;;;Być może, ale nie mam żadnej gwarancji, że zrobisz dokładnie to, o co proszę. Lubię mieć asa w rękawie.;;;;;;Maybe not, but I have no guarantee either that you will follow through with this. I like to take my chances.;;;;
1098033561;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033562;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033562;;;;;;;;Niech ci będzie.;;;;;;I understand, I suppose.;;;;
1098033563;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033564;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033564;;;;;;;;Dobrze. Gdy już ci się powiedzie, udaj się do Południowej Bramy w Novigradzie. Znajdziesz w niej luźną cegłę, za którą zostawisz mi wiadomość o naszym kolejnym spotkaniu. Naturalnie, na nim otrzymasz też swoja nagrodę.;;;;;;Good. Once you have succeeded, go to the Southern Gate of Novigrad. There's a loose brick where you can leave a message to arrange our final meeting. And your reward, of course.;;;;
1098033565;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033566;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033566;;;;;;;;Zanotowane.;;;;;;If you say so.;;;;
1098033567;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033568;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033568;;;;;;;;Powodzenia, wiedźminie. Bez wątpienia, będziesz go potrzebować.;;;;;;Good luck, witcher. You shall most certainly need it.;;;;
1098033569;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033570;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line;;;;;;;;;To zależy.;;;;;;Depends.;;;;
1098033571;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033572;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line;;;;;;;;;Mów dalej.;;;;;;Keep talking.;;;;
1098033573;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033574;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033574;;;;;;;;To zależy.;;;;;;Depends.;;;;
